Sample,Gene,SE_Score
TCGA-KC-A7FE-01,KIRREL,-0.025018275
TCGA-OR-A5K1-01,KIRREL,-0.025004983
TCGA-FK-A4UB-01,KIRREL,-0.025002271
TCGA-DJ-A2PR-01,TBC1D3,-0.02499628
TCGA-M7-A720-01,KIRREL,-0.024992168
TCGA-RW-A689-01,KIRREL,-0.024983913
TCGA-ZG-A9M4-01,KIRREL,-0.024972796
TCGA-EJ-A46B-01,KIRREL,-0.024971575
TCGA-DJ-A3UQ-01,MAP4K4,-0.02496314
TCGA-XM-A8RB-01,KIRREL,-0.02495709
TCGA-2G-AAKD-01,KIRREL,-0.024935812
TCGA-Q3-A5QY-01,KIRREL,-0.02493319
TCGA-EM-A2CL-01,KIRREL,-0.024925143
TCGA-WB-A81V-01,KIRREL,-0.024923801
TCGA-EJ-5503-01,KIRREL,-0.024914801
TCGA-FE-A237-01,TBC1D3,-0.024910927
TCGA-YU-A90P-01,KIRREL,-0.024907738
TCGA-06-0139-01,KIRREL,-0.024907112
TCGA-EL-A3GX-01,MAP4K4,-0.024887025
TCGA-G9-7522-01,KIRREL,-0.02488488
TCGA-V1-A8MJ-01,KIRREL,-0.024874687
TCGA-IB-7897-01,KIRREL,-0.02487114
TCGA-CE-A485-01,KIRREL,-0.024869591
TCGA-A7-A0D9-01,KIRREL,-0.024868459
TCGA-FY-A3I5-01,KIRREL,-0.02486682
TCGA-4X-A9F9-01,KIRREL,-0.024865657
TCGA-IW-A3M6-01,TBC1D3,-0.024864793
TCGA-ET-A3BN-01,KIRREL,-0.024862975
TCGA-EM-A2CP-01,KIRREL,-0.024862051
TCGA-EM-A4FR-01,KIRREL,-0.024852395
TCGA-X7-A8DG-01,KIRREL,-0.024851352
TCGA-4K-AA1H-01,KIRREL,-0.024850667
TCGA-HT-7691-01,KIRREL,-0.024850368
TCGA-S6-A8JX-01,KIRREL,-0.02484876
TCGA-RT-A6Y9-01,KIRREL,-0.024848312
TCGA-3A-A9IO-01,KIRREL,-0.024844885
TCGA-D3-A8GE-06,KIRREL,-0.024843782
TCGA-2G-AAH4-01,KIRREL,-0.02484247
TCGA-AC-A3HN-01,KIRREL,-0.024840593
TCGA-CH-5746-01,KIRREL,-0.024833262
TCGA-HT-7485-01,TBC1D3,-0.024826646
TCGA-D8-A1XS-01,KIRREL,-0.024824113
TCGA-2G-AAHC-01,KIRREL,-0.024821818
TCGA-EM-A22Q-01,TBC1D3,-0.024821281
TCGA-BJ-A191-01,KIRREL,-0.024814188
TCGA-38-A44F-01,KIRREL,-0.02480787
TCGA-EM-A3AN-01,KIRREL,-0.02480337
TCGA-L6-A4ET-01,KIRREL,-0.024796784
TCGA-DJ-A13O-01,KIRREL,-0.024796337
TCGA-TT-A6YP-01,KIRREL,-0.024794549
TCGA-KN-8437-01,KIRREL,-0.024787128
TCGA-BJ-A45E-01,KIRREL,-0.024781555
TCGA-HT-7856-01,KIRREL,-0.024781048
TCGA-78-8648-01,KIRREL,-0.024775088
TCGA-Z4-AAPF-01,KIRREL,-0.024771273
TCGA-DJ-A2PX-01,KIRREL,-0.024770647
TCGA-ZM-AA0E-01,KIRREL,-0.024753183
TCGA-S6-A8JY-01,KIRREL,-0.024747044
TCGA-G9-6367-01,KIRREL,-0.024740815
TCGA-VD-AA8S-01,KIRREL,-0.024740368
TCGA-W2-A7HB-01,KIRREL,-0.024734706
TCGA-EM-A1CV-01,KIRREL,-0.024726748
TCGA-CR-7392-01,CAB39,-0.02472204
TCGA-2G-AAGK-01,KIRREL,-0.02471152
TCGA-VD-A8KO-01,KIRREL,-0.024695754
TCGA-ZM-AA06-01,KIRREL,-0.024684489
TCGA-RW-A7D0-01,KIRREL,-0.024680227
TCGA-FK-A3S3-01,KIRREL,-0.02467966
TCGA-HT-8107-01,KIRREL,-0.024658859
TCGA-3H-AB3X-01,KIRREL,-0.02464801
TCGA-FG-8181-01,KIRREL,-0.02464497
TCGA-SR-A6MT-01,KIRREL,-0.024644464
TCGA-DJ-A2PY-01,TBC1D3,-0.024636745
TCGA-RW-A68D-01,KIRREL,-0.02463594
TCGA-XG-A823-01,KIRREL,-0.024595946
TCGA-ZG-A9L2-01,KIRREL,-0.024591982
TCGA-SC-A6LP-01,KIRREL,-0.024575382
TCGA-OR-A5K3-01,KIRREL,-0.024570823
TCGA-EL-A3TA-01,KIRREL,-0.024560422
TCGA-W2-A7H5-01,KIRREL,-0.024559706
TCGA-AC-A2FF-01,KIRREL,-0.02455324
TCGA-A7-A0CH-01,KIRREL,-0.024545193
TCGA-D8-A27T-01,KIRREL,-0.024540633
TCGA-AN-A0XT-01,KIRREL,-0.024533868
TCGA-YU-AA4L-01,KIRREL,-0.0245336
TCGA-WB-A81N-01,KIRREL,-0.024517775
TCGA-EL-A3CO-01,KIRREL,-0.024505645
TCGA-DJ-A1QN-01,MAP4K4,-0.024500504
TCGA-SR-A6MQ-01,MAP4K4,-0.02449213
TCGA-QT-A5XL-01,KIRREL,-0.024490982
TCGA-BJ-A28R-01,MAP4K4,-0.024482608
TCGA-BQ-7055-01,KIRREL,-0.024474055
TCGA-QT-A7U0-01,KIRREL,-0.024470389
TCGA-V4-A9EW-01,KIRREL,-0.024467856
TCGA-FE-A3PA-01,KIRREL,-0.024453461
TCGA-ET-A2N3-01,KIRREL,-0.0244475
TCGA-XY-A8S3-01,KIRREL,-0.024437517
TCGA-FY-A4B4-01,KIRREL,-0.024436325
TCGA-EL-A3N2-01,TBC1D3,-0.024419785
TCGA-TT-A6YO-01,KIRREL,-0.024391681
TCGA-EL-A3CY-01,KIRREL,-0.0243904
TCGA-B6-A0WT-01,KIRREL,-0.024390131
TCGA-V4-A9EA-01,KIRREL,-0.024380058
TCGA-QR-A70I-01,KIRREL,-0.024362236
TCGA-P4-A5ED-01,KIRREL,-0.024349093
TCGA-DJ-A3V3-01,KIRREL,-0.024342537
TCGA-D6-6827-01,KIRREL,-0.024339199
TCGA-KN-8436-01,KIRREL,-0.024331719
TCGA-3G-AB0O-01,KIRREL,-0.024317384
TCGA-SP-A6QK-01,KIRREL,-0.024312288
TCGA-KS-A4I3-01,KIRREL,-0.024310619
TCGA-2G-AAGC-01,KIRREL,-0.024309158
TCGA-FY-A3NN-01,TBC1D3,-0.02429986
TCGA-EL-A3CV-01,TBC1D3,-0.024297118
TCGA-DJ-A1QF-01,KIRREL,-0.024292618
TCGA-EM-A3FJ-01,TBC1D3,-0.024291754
TCGA-EM-A3O8-01,KIRREL,-0.024288714
TCGA-2G-AAFN-01,KIRREL,-0.024283648
TCGA-OR-A5LN-01,KIRREL,-0.024271876
TCGA-SP-A6QG-01,KIRREL,-0.024270654
TCGA-EM-A2P1-01,TBC1D3,-0.024267673
TCGA-2G-AAGF-01,KIRREL,-0.024261385
TCGA-EA-A1QT-01,TBC1D3,-0.024257898
TCGA-XM-A8RD-01,KIRREL,-0.024243206
TCGA-ET-A39K-01,TBC1D3,-0.024240732
TCGA-EM-A4FU-01,TBC1D3,-0.02423811
