Sample	Gene	SE_Score
TCGA-2Z-A9JT-01	FERMT2	0.0046
TCGA-32-1970-01	CFLAR	0.0046
TCGA-32-1980-01	ITGB5	0.0074
TCGA-32-1982-01	FERMT2	0.0075
TCGA-32-2615-01	ITGB5	0.0079
TCGA-32-2616-01	GPX4	0.0018
TCGA-32-2632-01	CCDC101	0.0062
TCGA-32-2634-01	ITGB5	0.0111
TCGA-32-4213-01	BCAR1	0.0060
TCGA-32-5222-01	CDAN1	0.0084
TCGA-33-4532-01	EP300	0.0085
TCGA-33-4533-01	GPX4	0.0036
TCGA-33-4538-01	MAGOH	0.0065
TCGA-33-4547-01	CDAN1	0.0072
TCGA-33-4566-01	EXT1	0.0028
TCGA-33-4582-01	EP300	0.0063
TCGA-33-4583-01	GPX4	0.0063
TCGA-33-4586-01	CDAN1	0.0047
TCGA-33-4587-01	EP300	0.0094
TCGA-33-4589-01	CDAN1	0.0073
TCGA-33-6738-01	EP300	0.0050
TCGA-33-A4WN-01	EP300	0.0054
TCGA-33-A5GW-01	EP300	0.0070
TCGA-33-AAS8-01	CASC3	0.0070
TCGA-33-AASB-01	FXN	0.0043
TCGA-33-AASD-01	CDAN1	0.0064
TCGA-33-AASI-01	CDAN1	0.0040
TCGA-33-AASJ-01	EP300	0.0092
TCGA-33-AASL-01	GPX4	0.0035
TCGA-34-2596-01	EP300	0.0075
TCGA-34-2600-01	UBC	0.0040
TCGA-34-2608-01	MED10	0.0082
TCGA-34-5231-01	MDM2	0.0036
TCGA-34-5232-01	EP300	0.0075
TCGA-34-5234-01	WDR4	0.0040
TCGA-34-5236-01	SUPT7L	0.0054
TCGA-34-5239-01	EP300	0.0071
TCGA-34-5240-01	GPX4	0.0072
TCGA-34-5241-01	CDAN1	0.0053
TCGA-34-5927-01	EP300	0.0051
TCGA-34-5928-01	EP300	0.0091
TCGA-34-5929-01	CDAN1	0.0028
TCGA-34-7107-01	EP300	0.0088
TCGA-34-8454-01	EP300	0.0029
TCGA-34-8455-01	SEPSECS	0.0060
TCGA-34-8456-01	BCAR1	0.0058
TCGA-34-A5IX-01	EP300	0.0077
TCGA-35-3615-01	ELMO2	0.0032
TCGA-35-4122-01	EP300	0.0078
TCGA-35-4123-01	CDAN1	0.0067
TCGA-35-5375-01	EP300	0.0080
TCGA-37-3783-01	SUPT7L	0.0085
TCGA-37-3789-01	EP300	0.0052
TCGA-37-3792-01	EP300	0.0038
TCGA-37-4129-01	TIPARP	0.0091
TCGA-37-4130-01	EP300	0.0037
TCGA-37-4132-01	SUPT7L	0.0066
TCGA-37-4133-01	EP300	0.0076
TCGA-37-4135-01	GPX4	0.0035
TCGA-37-4141-01	EP300	0.0058
TCGA-37-5819-01	CDAN1	0.0044
TCGA-37-A5EL-01	SUPT7L	0.0071
TCGA-37-A5EN-01	EP300	0.0076
TCGA-38-4625-01	APC	0.0038
TCGA-38-4626-01	EP300	0.0070
TCGA-38-4627-01	CCDC101	0.0075
TCGA-38-4628-01	ZMYND8	0.0029
TCGA-38-4631-01	EP300	0.0026
TCGA-38-4632-01	EXT1	0.0039
TCGA-38-6178-01	ELMO2	0.0101
TCGA-38-7271-01	FERMT2	0.0072
TCGA-38-A44F-01	BCAR1	0.0094
TCGA-39-5011-01	CBFB	0.0034
TCGA-39-5019-01	EP300	0.0113
TCGA-39-5021-01	MAGOH	0.0046
TCGA-39-5022-01	EP300	0.0060
TCGA-39-5024-01	EP300	0.0057
TCGA-39-5028-01	EP300	0.0058
TCGA-39-5029-01	EP300	0.0069
TCGA-39-5030-01	EP300	0.0056
TCGA-39-5031-01	GPX4	0.0036
TCGA-39-5034-01	DYRK1A	0.0022
TCGA-39-5035-01	ROCK2	0.0049
TCGA-39-5036-01	EP300	0.0071
TCGA-39-5037-01	CDAN1	0.0065
TCGA-39-5039-01	LSM5	0.0061
TCGA-39-5040-01	EP300	0.0038
TCGA-3A-A9I5-01	GGNBP2	0.0071
TCGA-3A-A9I7-01	BCAR1	0.0097
TCGA-3A-A9I9-01	EP300	0.0056
TCGA-3A-A9IB-01	ITGB5	0.0078
TCGA-3A-A9IC-01	ITGB5	0.0092
TCGA-3A-A9IH-01	BCAR1	0.0084
TCGA-3A-A9IJ-01	ELMO2	0.0098
TCGA-3A-A9IL-01	TIPARP	0.0096
TCGA-3A-A9IN-01	ITGB5	0.0078
TCGA-3A-A9IO-01	TIPARP	0.0089
