Sample,Gene,SE_Score
TCGA-V4-A9E9-01,TP53,-0.084837735
TCGA-WB-A817-01,TP53,-0.084801346
TCGA-2G-AAHC-01,TP53,-0.08479655
TCGA-XM-A8RH-01,TP53,-0.084789455
TCGA-EJ-A7NF-01,TP53,-0.08478102
TCGA-XM-A8R9-01,TP53,-0.08477175
TCGA-P8-A5KC-01,TP53,-0.08476478
TCGA-EM-A1YD-01,TP53,-0.08476061
TCGA-BP-4795-01,TP53,-0.0847435
TCGA-VD-A8K9-01,TP53,-0.08472514
TCGA-E9-A1RI-01,TP53,-0.08469123
TCGA-RW-A68G-01,TP53,-0.084650874
TCGA-EW-A1PG-01,TP53,-0.08464655
TCGA-ZT-A8OM-01,TP53,-0.08463013
TCGA-ET-A39L-01,TP53,-0.08462012
TCGA-DX-A3U6-01,TP53,-0.08461389
TCGA-HZ-7920-01,TP53,-0.08460382
TCGA-TT-A6YP-01,TP53,-0.08455849
TCGA-2G-AALG-01,TP53,-0.08455172
TCGA-WB-A81R-01,TP53,-0.08454028
TCGA-QR-A6GZ-01,TP53,-0.08452189
TCGA-V4-A9EY-01,TP53,-0.08449042
TCGA-2G-AALS-01,TP53,-0.08448681
TCGA-EM-A2CL-01,TP53,-0.08447361
TCGA-UD-AAC7-01,TP53,-0.08445221
TCGA-WB-A822-01,TP53,-0.084450275
TCGA-DJ-A3V2-01,TP53,-0.08444206
TCGA-LL-A440-01,TP53,-0.0844371
TCGA-M7-A723-01,TP53,-0.08443624
TCGA-ET-A2N3-01,TP53,-0.08441752
TCGA-KS-A4I1-01,TP53,-0.084403336
TCGA-SR-A6MS-01,TP53,-0.0844017
TCGA-OR-A5KW-01,TP53,-0.08439842
TCGA-49-AARR-01,TP53,-0.08438459
TCGA-DJ-A4V5-01,TP53,-0.08435699
TCGA-XU-AAXX-01,TP53,-0.08434647
TCGA-J8-A3O1-01,TP53,-0.08434564
TCGA-HZ-8638-01,TP53,-0.084340364
TCGA-EL-A3D4-01,TP53,-0.08433625
TCGA-OL-A5RV-01,TP53,-0.08432171
TCGA-4V-A9QX-01,TP53,-0.08428982
TCGA-DJ-A4V0-01,TP53,-0.084282756
TCGA-ET-A3BN-01,TP53,-0.084280044
TCGA-SR-A6MQ-01,TP53,-0.08427781
TCGA-VF-A8AE-01,TP53,-0.08425629
TCGA-EM-A4FR-01,TP53,-0.08424267
TCGA-TT-A6YJ-01,TP53,-0.08423364
TCGA-ZB-A96A-01,TP53,-0.08422154
TCGA-X7-A8D7-01,TP53,-0.08421326
TCGA-FE-A23A-01,TP53,-0.08418563
TCGA-AN-A0XT-01,TP53,-0.08416739
TCGA-OL-A5RY-01,TP53,-0.08415824
TCGA-4X-A9FB-01,TP53,-0.08414826
TCGA-V4-A9F3-01,TP53,-0.0841406
TCGA-SR-A6MY-01,TP53,-0.084136695
TCGA-EM-A22N-01,TP53,-0.08412674
TCGA-2G-AAGF-01,TP53,-0.08409792
TCGA-EL-A3CO-01,TP53,-0.08409137
TCGA-IB-AAUS-01,TP53,-0.08408821
TCGA-V3-A9ZX-01,TP53,-0.08405876
TCGA-DU-6404-01,TP53,-0.08404565
TCGA-AK-3453-01,TP53,-0.0840251
TCGA-QQ-A8VD-01,TP53,-0.084023535
TCGA-ET-A25R-01,TP53,-0.08401752
TCGA-QR-A6H0-01,TP53,-0.084009826
TCGA-D8-A1JS-01,TP53,-0.08395338
TCGA-RW-A7D0-01,TP53,-0.08394161
TCGA-EL-A3ZT-01,TP53,-0.0839228
TCGA-AC-A3HN-01,TP53,-0.08391768
TCGA-BC-A10X-01,TP53,-0.08391434
TCGA-KL-8333-01,TP53,-0.083908826
TCGA-RM-A68W-01,TP53,-0.08390246
TCGA-RP-A690-06,TP53,-0.08389491
TCGA-FY-A3I4-01,TP53,-0.0838793
TCGA-EL-A3ZP-01,TP53,-0.083862215
TCGA-RZ-AB0B-01,TP53,-0.08385977
TCGA-EB-A4IQ-01,TP53,-0.08385256
TCGA-DX-A48K-01,TP53,-0.08384466
TCGA-HZ-7924-01,TP53,-0.08380267
TCGA-UT-A97Y-01,TP53,-0.0837726
TCGA-SR-A6MT-01,TP53,-0.08376287
TCGA-ET-A2N5-01,TP53,-0.0837391
TCGA-ET-A3DQ-01,TP53,-0.08373371
TCGA-WB-A80Q-01,TP53,-0.083730966
TCGA-ZB-A96O-01,TP53,-0.083717704
TCGA-EL-A3ZR-01,TP53,-0.08371711
TCGA-60-2697-01,TP53,-0.08371161
TCGA-SR-A6MP-01,TP53,-0.08369768
TCGA-BH-A0BV-01,TP53,-0.0836941
TCGA-G9-6353-01,TP53,-0.083639264
TCGA-V1-A8MK-01,TP53,-0.08363399
TCGA-DU-A7TG-01,TP53,-0.083622515
TCGA-S7-A7X0-01,TP53,-0.08358735
TCGA-F9-A7Q0-01,TP53,-0.08357933
TCGA-A7-A13G-01,TP53,-0.08357462
TCGA-FY-A3I5-01,TP53,-0.08356759
TCGA-EL-A3CY-01,TP53,-0.083538026
TCGA-KO-8409-01,TP53,-0.08352995
TCGA-XU-A92Y-01,TP53,-0.0835295
TCGA-A2-A0EP-01,TP53,-0.083515316
TCGA-DU-6406-01,TP53,-0.083513916
TCGA-EL-A3GY-01,TP53,-0.08351306
TCGA-YU-AA4L-01,TP53,-0.083512545
TCGA-QF-A5YT-01,TP53,-0.08347446
TCGA-SR-A6N0-01,TP53,-0.08347058
TCGA-XE-AAOL-01,TP53,-0.08346382
TCGA-S7-A7WO-01,TP53,-0.08346242
TCGA-RW-A7CZ-01,TP53,-0.08344266
TCGA-BQ-7055-01,TP53,-0.08344084
TCGA-XE-A8H1-01,TP53,-0.0834313
TCGA-EJ-A8FP-01,TP53,-0.08340508
TCGA-J4-AATV-01,TP53,-0.08339098
TCGA-FE-A3PB-01,TP53,-0.08336962
TCGA-EM-A1CW-01,TP53,-0.083351225
TCGA-ET-A2MX-01,TP53,-0.08329728
TCGA-WB-A81W-01,TP53,-0.08329591
TCGA-2G-AALO-01,TP53,-0.08327401
TCGA-FK-A3SG-01,TP53,-0.08324284
TCGA-PR-A5PH-01,TP53,-0.08323832
TCGA-RW-A689-01,TP53,-0.08321455
TCGA-2G-AAM2-01,TP53,-0.08321205
TCGA-4X-A9F9-01,TP53,-0.0832083
TCGA-RW-A67Y-01,TP53,-0.08319342
TCGA-EL-A3H4-01,TP53,-0.083190024
TCGA-EM-A3AO-01,TP53,-0.083188415
TCGA-CE-A13K-01,TP53,-0.08318502
TCGA-OR-A5LH-01,TP53,-0.083171874
TCGA-EM-A3AJ-01,TP53,-0.08315337
TCGA-H2-A3RI-01,TP53,-0.083153285
TCGA-ET-A3BS-01,TP53,-0.08311511
TCGA-DJ-A2PO-01,TP53,-0.08310628
TCGA-XU-A936-01,TP53,-0.08308646
TCGA-EM-A3AN-01,TP53,-0.083082944
TCGA-S7-A7WP-01,TP53,-0.08305958
TCGA-TS-A7P6-01,TP53,-0.08305794
TCGA-FY-A76V-01,TP53,-0.08303404
TCGA-V4-A9EV-01,TP53,-0.08301765
TCGA-KS-A4IB-01,TP53,-0.08300191
TCGA-SP-A6QD-01,TP53,-0.08299473
TCGA-XR-A8TE-01,TP53,-0.08299446
TCGA-EM-A4FN-01,TP53,-0.082983166
TCGA-SP-A6QG-01,TP53,-0.08296138
TCGA-3H-AB3L-01,TP53,-0.08294359
TCGA-EJ-A8FU-01,TP53,-0.08294168
TCGA-DJ-A1QF-01,TP53,-0.08293123
TCGA-DJ-A2PN-01,TP53,-0.08292637
TCGA-ZB-A963-01,TP53,-0.08289352
TCGA-TT-A6YN-01,TP53,-0.08288998
TCGA-EM-A3FQ-01,TP53,-0.082873106
TCGA-DJ-A3V3-01,TP53,-0.08287099
TCGA-2G-AALQ-01,TP53,-0.08286044
TCGA-XU-A932-01,TP53,-0.08285541
TCGA-WB-A81N-01,TP53,-0.08284482
TCGA-X7-A8DG-01,TP53,-0.08284207
TCGA-2G-AAG0-01,TP53,-0.0828308
TCGA-2G-AAFN-01,TP53,-0.08281991
TCGA-WB-A81I-01,TP53,-0.08281875
TCGA-MK-A4N9-01,TP53,-0.08281464
TCGA-V1-A9OA-01,TP53,-0.08280739
TCGA-06-0139-01,TP53,-0.0828051
TCGA-E8-A434-01,TP53,-0.082804
TCGA-W8-A86G-01,TP53,-0.08279863
TCGA-BJ-A45K-01,TP53,-0.08278975
TCGA-EL-A3H8-01,TP53,-0.08278457
TCGA-AK-3443-01,TP53,-0.08278382
TCGA-BH-A0BS-01,TP53,-0.08278257
TCGA-DJ-A1QE-01,TP53,-0.08278078
TCGA-2G-AAGV-01,TP53,-0.082760125
TCGA-F2-7273-01,TP53,-0.08271986
TCGA-75-6212-01,TP53,-0.082719535
TCGA-QR-A70R-01,TP53,-0.082707465
TCGA-RN-A68Q-01,TP53,-0.08270326
TCGA-HT-7856-01,TP53,-0.08267155
TCGA-HT-7474-01,TP53,-0.08266911
TCGA-XY-A9T9-01,TP53,-0.082643114
TCGA-ET-A39T-01,TP53,-0.08263723
TCGA-B3-3926-01,TP53,-0.08263269
TCGA-4K-AA1I-01,TP53,-0.08263251
TCGA-DJ-A4UW-01,TP53,-0.082626015
TCGA-BJ-A0ZE-01,TP53,-0.08262184
TCGA-A2-A0ST-01,TP53,-0.082619965
TCGA-4V-A9QL-01,TP53,-0.08261663
TCGA-ET-A40Q-01,TP53,-0.08260581
TCGA-XY-A8S3-01,TP53,-0.08260495
TCGA-EL-A4JW-01,TP53,-0.0825677
TCGA-DJ-A3US-01,TP53,-0.08256227
TCGA-B6-A0WT-01,TP53,-0.08255407
TCGA-DJ-A3UK-01,TP53,-0.082533695
TCGA-EM-A3O9-01,TP53,-0.08251104
TCGA-XU-A931-01,TP53,-0.08250114
TCGA-2G-AAHG-01,TP53,-0.08248425
TCGA-D3-A2J6-06,TP53,-0.08248079
TCGA-BR-6803-01,TP53,-0.08247897
TCGA-2G-AAFY-01,TP53,-0.082473874
TCGA-J8-A4HW-01,TP53,-0.08243972
TCGA-QR-A70E-01,TP53,-0.08243859
TCGA-D3-A2JB-06,TP53,-0.08243513
TCGA-3H-AB3X-01,TP53,-0.08242801
TCGA-RW-A685-01,TP53,-0.08242521
TCGA-V1-A9OY-01,TP53,-0.08241598
TCGA-EM-A3FL-01,TP53,-0.08241388
TCGA-BJ-A192-01,TP53,-0.082411975
TCGA-A7-A0CH-01,TP53,-0.082404554
TCGA-YU-A94D-01,TP53,-0.0823838
TCGA-P8-A6RY-01,TP53,-0.08237249
TCGA-44-6148-01,TP53,-0.08235687
TCGA-ET-A39J-01,TP53,-0.082355656
TCGA-DJ-A13U-01,TP53,-0.08234695
TCGA-HC-7750-01,TP53,-0.08232993
TCGA-2G-AALX-01,TP53,-0.08231798
TCGA-AC-A3YJ-01,TP53,-0.082316786
TCGA-CE-A483-01,TP53,-0.08230788
TCGA-2G-AAG9-01,TP53,-0.08230612
TCGA-QR-A70W-01,TP53,-0.08228177
TCGA-E8-A436-01,TP53,-0.0822798
TCGA-V1-A8MJ-01,TP53,-0.082255095
TCGA-4V-A9QU-01,TP53,-0.08224976
TCGA-CN-6017-01,TP53,-0.08224648
TCGA-DJ-A2Q6-01,TP53,-0.08221141
TCGA-XM-A8R8-01,TP53,-0.082187116
TCGA-SN-A84X-01,TP53,-0.08218285
TCGA-H2-A3RH-01,TP53,-0.082179904
TCGA-RW-A68D-01,TP53,-0.08215928
TCGA-QR-A7IN-01,TP53,-0.08215916
TCGA-EM-A4FO-01,TP53,-0.08215812
TCGA-WB-A81F-01,TP53,-0.08214989
TCGA-J8-A3YD-01,TP53,-0.082125455
TCGA-KC-A4BR-01,TP53,-0.082114995
TCGA-EL-A3MW-01,TP53,-0.08209098
TCGA-S7-A7X2-01,TP53,-0.08208352
TCGA-XU-A92W-01,TP53,-0.082083344
TCGA-X7-A8D6-01,TP53,-0.082048595
TCGA-ET-A25O-01,TP53,-0.082037486
TCGA-BJ-A0ZJ-01,TP53,-0.08203682
TCGA-VD-A8KA-01,TP53,-0.08203542
TCGA-BP-4760-01,TP53,-0.082029104
TCGA-DJ-A4UP-01,TP53,-0.082022704
TCGA-VM-A8C9-01,TP53,-0.082018405
TCGA-XH-A853-01,TP53,-0.08201462
TCGA-XE-AAO6-01,TP53,-0.08200073
TCGA-CV-A45T-01,TP53,-0.081994034
TCGA-VN-A88M-01,TP53,-0.08198735
TCGA-3A-A9IO-01,TP53,-0.0819864
TCGA-ZB-A969-01,TP53,-0.08198482
TCGA-AR-A2LM-01,TP53,-0.08194603
TCGA-BJ-A45G-01,TP53,-0.081932396
TCGA-DJ-A3UM-01,TP53,-0.08191294
TCGA-G9-7521-01,TP53,-0.081908315
TCGA-3G-AB0T-01,TP53,-0.08189714
TCGA-QR-A6GS-01,TP53,-0.081895895
TCGA-ET-A25K-01,TP53,-0.08186045
TCGA-J4-A67S-01,TP53,-0.08185786
TCGA-IB-A5ST-01,TP53,-0.08181664
TCGA-2G-AAG8-01,TP53,-0.081792325
TCGA-YU-A912-01,TP53,-0.08177957
TCGA-5V-A9RR-01,TP53,-0.08175972
TCGA-DJ-A2PY-01,TP53,-0.08175052
TCGA-ET-A3DT-01,TP53,-0.08174283
TCGA-2G-AAKO-01,TP53,-0.0817385
TCGA-2G-AAFH-01,TP53,-0.08172366
TCGA-E8-A414-01,TP53,-0.08171815
TCGA-ET-A3BT-01,TP53,-0.08168048
TCGA-QR-A702-01,TP53,-0.08167833
TCGA-OR-A5J3-01,TP53,-0.08167651
TCGA-TM-A84R-01,TP53,-0.08167213
TCGA-V4-A9EF-01,TP53,-0.08166629
TCGA-EL-A3TB-01,TP53,-0.081650704
TCGA-ET-A3DV-01,TP53,-0.08165014
TCGA-AO-A1KO-01,TP53,-0.08164045
TCGA-C5-A7CM-01,TP53,-0.081635535
TCGA-G9-7523-01,TP53,-0.08163527
TCGA-VF-A8AB-01,TP53,-0.08161855
TCGA-DH-A7UT-01,TP53,-0.081599094
TCGA-DH-5144-01,TP53,-0.081593424
TCGA-S7-A7WQ-01,TP53,-0.08158186
TCGA-E8-A419-01,TP53,-0.08157567
TCGA-DE-A4MA-01,TP53,-0.08156989
TCGA-KS-A41F-01,TP53,-0.08156571
TCGA-EW-A1P7-01,TP53,-0.08155644
TCGA-EM-A1YC-01,TP53,-0.08154324
TCGA-VD-AA8P-01,TP53,-0.08153495
TCGA-EL-A4KH-01,TP53,-0.081528015
TCGA-FY-A3NM-01,TP53,-0.08152104
TCGA-DE-A0Y3-01,TP53,-0.08148936
TCGA-CE-A27D-01,TP53,-0.081441015
TCGA-CR-7391-01,TP53,-0.08143857
TCGA-WC-A88A-01,TP53,-0.08143607
TCGA-DJ-A13P-01,TP53,-0.08142988
TCGA-W2-A7H5-01,TP53,-0.08142257
TCGA-RW-A68A-01,TP53,-0.0813801
TCGA-QT-A5XN-01,TP53,-0.08137512
TCGA-J4-A83L-01,TP53,-0.081373125
TCGA-ET-A39K-01,TP53,-0.0813722
TCGA-A2-A0CK-01,TP53,-0.08136043
TCGA-DJ-A13O-01,TP53,-0.08134023
TCGA-QR-A6H5-01,TP53,-0.081327386
TCGA-H9-A6BX-01,TP53,-0.081314445
TCGA-3A-A9IR-01,TP53,-0.0813097
TCGA-PR-A5PG-01,TP53,-0.08127475
TCGA-E8-A438-01,TP53,-0.08126965
TCGA-V1-A8ML-01,TP53,-0.08126689
TCGA-VD-A8KH-01,TP53,-0.08126652
TCGA-DE-A2OL-01,TP53,-0.08126104
TCGA-PL-A8LY-01,TP53,-0.08125741
TCGA-KS-A4I7-01,TP53,-0.08125654
TCGA-SR-A6MX-01,TP53,-0.081254035
TCGA-XE-AAO3-01,TP53,-0.081252396
TCGA-XE-A9SE-01,TP53,-0.08125076
TCGA-EJ-A7NK-01,TP53,-0.08124673
TCGA-BH-A0H7-01,TP53,-0.08123569
TCGA-FE-A3PD-01,TP53,-0.08121151
TCGA-4V-A9QI-01,TP53,-0.0812003
TCGA-DJ-A3VI-01,TP53,-0.081194885
TCGA-E8-A3X7-01,TP53,-0.08119408
TCGA-S7-A7X1-01,TP53,-0.08118424
TCGA-DE-A0Y2-01,TP53,-0.081183195
TCGA-FY-A40N-01,TP53,-0.08116853
TCGA-QT-A5XK-01,TP53,-0.08115631
TCGA-S7-A7WW-01,TP53,-0.08114931
TCGA-B9-A5W7-01,TP53,-0.08114788
TCGA-D8-A27T-01,TP53,-0.081120074
TCGA-QD-A8IV-01,TP53,-0.081110746
TCGA-DJ-A13M-01,TP53,-0.081092894
TCGA-EM-A22M-01,TP53,-0.08108789
TCGA-BJ-A0ZG-01,TP53,-0.08107808
TCGA-EJ-A7NJ-01,TP53,-0.081072986
TCGA-AC-A2FB-01,TP53,-0.0810685
TCGA-EL-A3GX-01,TP53,-0.0810589
TCGA-BH-A0E1-01,TP53,-0.081049085
TCGA-FK-A3S3-01,TP53,-0.081035584
TCGA-DJ-A3UY-01,TP53,-0.081029244
TCGA-EL-A3ZG-01,TP53,-0.081029244
TCGA-KS-A4IC-01,TP53,-0.081029244
TCGA-DX-A48J-01,TP53,-0.08101106
TCGA-A2-A0YE-01,TP53,-0.08100706
